2022-10-28 23:15:05: AUC:0.9260,F1:0.8710,Recall:0.8648,G-mean:0.8620
2022-10-28 23:16:38: AUC:0.9327,F1:0.8812,Recall:0.8650,G-mean:0.8592
2022-10-28 23:18:54: AUC:0.9467,F1:0.8856,Recall:0.8695,G-mean:0.8641
2022-10-28 23:22:00: AUC:0.9306,F1:0.8783,Recall:0.8575,G-mean:0.8495
2022-10-28 23:27:18: AUC:0.9699,F1:0.8799,Recall:0.8598,G-mean:0.8522
2022-10-28 23:31:55: AUC:0.9848,F1:0.8734,Recall:0.8659,G-mean:0.8627
2022-10-28 23:37:05: AUC:0.9454,F1:0.8664,Recall:0.8554,G-mean:0.8507
2022-10-28 23:42:50: AUC:0.9735,F1:0.8548,Recall:0.8493,G-mean:0.8460
2022-10-28 23:49:33: AUC:0.8113,F1:0.8275,Recall:0.8235,G-mean:0.8195
2022-10-28 23:56:57: AUC:0.9854,F1:0.8316,Recall:0.8099,G-mean:0.7960
2022-10-29 00:05:04: AUC:0.5714,F1:0.7126,Recall:0.7543,G-mean:0.7507
